,user,tweet,location,description,friends_count,followers_count,statuses_count,created_at,retweet_count,hashtags
0,AecQuarterly,"""Africa is most affected yet least responsible for climate change. Sadly it is also producing the least scientific… https://t.co/7KvL6irWDc",Nigeria,Pan-African magazine influencing the African narrative one story at a time.,23,23,196,2020-11-02 06:25:08,0,[]
1,BiancavanWyk16,"@AngloAmericanZA  Chairman's Fund is listed as one of the donors of  @IRR_SouthAfrica 
Two things, as a donor: 
1)… https://t.co/M5WwqjvC6x","Pretoria, South Africa","Business Coach and Training Facilitator. Eager to learn, laugh, and share thoughts. Antiracist. Founding Member of the Alliance of Social Democrats",3790,14650,78357,2019-05-12 05:44:35,0,[]
2,dailymaverick,The Intergovernmental Panel on Climate Change (IPCC) Assessment Report Six Working Group I report was released last… https://t.co/IOhpXSjvPB,South Africa,"The need to Defend Truth has never been greater. Support free, fair, fearless reporting. Become a Maverick Insider: https://t.co/ifFGQCBOOD",1913,490591,203445,2009-09-04 17:58:33,5,[]
3,cwundef,"In Africa, especially in the northern  regions, where the weather is dry and severely hit by climate change conditi… https://t.co/winjX1cD3M","Obuasi, Ghana",Enterpreneurship Blogger || Digital Marketer || Wundef Media || Environmentalists @350GROC || @cedijob,68114,68817,61331,2010-02-12 22:37:42,0,[]
4,cwundef,"In Africa, especially in the  regions, where the weather is dry and severely hit by climate change conditions, maki… https://t.co/IylTBmNvhT","Obuasi, Ghana",Enterpreneurship Blogger || Digital Marketer || Wundef Media || Environmentalists @350GROC || @cedijob,68114,68817,61331,2010-02-12 22:37:42,0,[]
5,FinancialMail,"In an effort to combat poverty and climate change, Ivory Coast’s smallholder farmers are turning to biowaste https://t.co/4ayqHJbX0Q",Johannesburg,"The Financial Mail is a weekly South African magazine aimed at bringing you insightful, in-depth & hard-hitting business news.",301,117641,50566,2010-01-20 05:31:13,0,[]
6,ZSP_ORG,According to the latest edition of the FAO's Regional Overview of Food Security and Nutrition in the Near East and… https://t.co/kSy79ktbpi,"Abu Dhabi, UAE","The official account of Zayed Sustainability Prize.
We empower, celebrate, and reward outstanding global sustainable solutions.",2108,198252,10932,2009-07-12 09:52:52,1,[]
7,KlaasTjoelker,"What does the IPCC report say about climate change in Africa? — Quartz Africa
https://t.co/IzZZQEGduN","Cotonou, République du Bénin","👨‍🍳 Andragogue Cuisinier.  Formation, Conseil",56,39,2690,2019-01-17 08:43:45,0,[]
8,Stales_1,"Hemp can help prevent environmental disasters like flood and climate change.

Hemp can help us live in a better and… https://t.co/Ewqk0Mdtav","Lagos,Nigeria","Cannabis Researcher, Techpreneur and Founder of @puffyweedinc & @igboleaf1",933,410,3204,2011-03-12 06:21:29,0,[]
9,Moneyweb,"Projected dry and hot conditions will have a devastating impact on #Africa where the economies of most countries, &amp;… https://t.co/zpRBvoSLrK",South Africa,"Credible business, finance and investment news to empower and inform our community.",2582,142605,82539,2009-03-04 09:44:32,0,"[{'text': 'Africa', 'indices': [67, 74]}]"
