,user,tweet,location,description,friends_count,followers_count,statuses_count,created_at,retweet_count,hashtags
0,summedupkenya,"Wajir repairs boreholes as drought takes toll on residents
 https://t.co/UuzZub8KA5","Nairobi, Kenya","Get yourself covered by News Summed Up! Email us at aprilinnovationslab@gmail.com
Download now https://t.co/5vDRNSUuRg",162,358,188792,2016-06-13 12:00:11,0,[]
1,NelsonGich,"Natural disasters (wildfires, flooding, drought, famine, heat waves) COVID-19 pandemic (mutating variants, vaccine… https://t.co/nlQMVTOAMH","Nairobi, Kenya","Many hats.Microbiologist, Tech nerd, Egalitarian, Pan-Africanist, Blogger @Wordpressdotcom
The cave you fear to enter holds the treasure you seek.",1077,268,15494,2020-09-21 06:07:17,0,[]
2,andrewsuleh,"when things were good she was called Lilian ochung 
when the drought set in she is now called Lilian Kamau 
jomoko yawa",Nairobi Kenya,"KMA Chairman 2008-2012,Board Chair Health Rights Advocacy Forum /  IMed/Renal Physician /Tropical medicine and hygiene /sports medicine  /head medical KPL/FKF",3071,42181,144795,2013-09-24 16:24:40,0,[]
3,WWF_Kenya,“Climate change impact on Kenya and Africa can be seen and felt by all. Delayed rains or drought are no longer in t… https://t.co/me5E9AAkCH,"Nairobi, Kenya",We're WWF. Our strength lies in our collaboration - #Nisisisote.  #TogetherforNature: #Forests #Livelihoods #Marine #Freshwater #Wildlife  #SustainableEnergy,644,22055,7724,2013-01-09 13:51:27,5,[]
4,EbruTVKenya,"Cushioning The Needy: 2.1m Kenyans From Asal Counties Are Affected By Drought
https://t.co/bTZdfoy76X https://t.co/eLv5w2xlhF",NAIROBI,"KENYAN TV STATION Find us on GOtv Channel (96),Zuku Channel (17), Startimes Channel (109), Bamba TV & GOtv (Signet)",63,33397,135564,2011-05-10 14:03:50,0,[]
5,GonaJudy,Happy Sunday. Be like a tree planted by the water that sends out its roots by the stream. It does not fear when hea… https://t.co/TlJ8SnTCpN,"Nairobi, Kenya",Advisor- Sustainable tourism / community conservation / tourism boosted development. Winner - Forbes Woman Africa Sustainable Citizen Award 2019 #sttaconsulting,3566,7101,12596,2012-10-19 12:13:38,0,[]
6,Shukri31129535,"As if the tribal  fighting  and drought  is not enough, today we experienced one of the fire  calamities  in Marsabit","Nairobi, Kenya","life is a journey ,take one step at a time",123,8,28,2020-08-21 14:05:52,0,[]
7,Gamalbrb,@Asmali77 They will be questioned inside their graves. Drought is hitting the Northern every year and many die beca… https://t.co/GeJYHwPjnV,"Nairobi, Kenya",🇾🇪 🇰🇪by blood | Photojournalist | Reporter | Social Media Manager | Chef. 🙏🏼Always Grateful 🙏🏼 #MUFC die hard,354,919,7003,2015-08-07 18:57:40,4,[]
8,TheCountyKenya,Government to disburse funds to counter drought effects in ASALs region https://t.co/BwT8U16sBn,"Nairobi, Kenya",Home of County News --- news@thecounty.co.ke --- Hotline +254716835975,119,6103,4379,2015-05-07 15:31:17,0,[]
9,untamed254_,"Manjesta                           arsenal
                          🤝
               Trophy drought",Nairobi,"Bio D+.     
Together for short lives . just for fun☢️  
@chelseafc💙",2922,6332,18283,2019-04-04 12:47:29,3,[]
10,News_Kenya,State to disburse funds to families affected by drought: The government will spend Ksh558 million in cash transfers… https://t.co/gzkSN9JKEC,Nairobi,"Kenyan News Updates: Get Breaking News on Twitter.  For Kenyan blogs, follow @Blogs_Kenya. Curated by @peteretelej. Android App: 🇰🇪 https://t.co/bt1fAYpw6S",43,24447,172522,2010-10-11 11:09:03,0,[]
11,KBCChannel1,State to disburse funds to families affected by drought - https://t.co/HcrZ0cBOCn,"Nairobi, Kenya","Kenya's National Broadcaster, bringing you stories that matter. For more about our TV Shows Follow @KBCTelevision",1799,379258,232544,2011-02-07 14:57:10,1,[]
12,andrewsuleh,''You cannot use public money to build a dam inside your stomach and expect the public not to ask you for water whe… https://t.co/9XQc6Ha7MG,Nairobi Kenya,"KMA Chairman 2008-2012,Board Chair Health Rights Advocacy Forum /  IMed/Renal Physician /Tropical medicine and hygiene /sports medicine  /head medical KPL/FKF",3071,42181,144795,2013-09-24 16:24:40,46,[]
