,user,tweet,location,description,friends_count,followers_count,statuses_count,created_at,retweet_count,hashtags
0,NelsonGich,"Natural disasters (wildfires, flooding, drought, famine, heat waves) COVID-19 pandemic (mutating variants, vaccine… https://t.co/nlQMVTOAMH","Nairobi, Kenya","Many hats.Microbiologist, Tech nerd, Egalitarian, Pan-Africanist, Blogger @Wordpressdotcom
The cave you fear to enter holds the treasure you seek.",1077,268,15496,2020-09-21 06:07:17,0,[]
1,UzalendoNews_KE,"Ghost of famine rears its head in Ganze, Kilifi County as a person succumbs to hunger. https://t.co/oCbkavP28i https://t.co/kTR3PhYa2C","Nairobi, Kenya",Turn on Notifications 🔔 To The Official Twitter Account Of Uzalendo Newspaper,1491,3425,16638,2019-01-03 15:10:11,1,[]
2,covid_kenya,"according to yesterday's press release, MoH have now vaccinated Kenyans with 
 
💉 2 MILLION DOSES 💪🏾
 
huge progres… https://t.co/hvy4CuapmL","Nairobi, Kenya",monitoring the situation with COVID-19 in Kenya | guest curators every week | public discussions online Wed+Sun @8pm,294,386,431,2021-06-09 12:51:02,3,[]
3,Cate_Waruguru,"If God is for us,who can be against us ?Who shall separate us from the love of Christ ? Shall trouble or hardship ?… https://t.co/jygjVxd3iz","Nanyuki, Kenya",Laikipia County Member of Parliament/ Loves God/ Wife & mother/ youth,612,51279,668,2017-08-30 15:03:28,9,[]
4,OchanjiSamuel,"""They searched for that famine themselves,"" It is argued elsewhere. https://t.co/NrICDdYz2X","Nairobi, Kenya",Nomad. Music. Farmer. VR/XR/MR. Domains. Trying hard to grasp the journey of life. Nairobi.,135,166,4660,2019-03-10 17:58:18,0,[]
5,YosefAlachew,"Western media ignores #Amhara, and #Afar! Its focus is on giving life to #TPLFisaTerroristGroup! Their favorite lin… https://t.co/hnIo3o0GqA","Nairobi, Kenya",#adventurer #banker #lover,34,2,93,2013-11-07 12:35:27,0,"[{'text': 'Amhara', 'indices': [22, 29]}, {'text': 'Afar', 'indices': [35, 40]}, {'text': 'TPLFisaTerroristGroup', 'indices': [73, 95]}]"
6,EbruTVKenya,"Mutito Andei Residents Fear Looming Famine Caused By Stray Jumbos
https://t.co/YF9bcmrBUt https://t.co/lHbEzzcI9w",NAIROBI,"KENYAN TV STATION Find us on GOtv Channel (96),Zuku Channel (17), Startimes Channel (109), Bamba TV & GOtv (Signet)",63,33397,135564,2011-05-10 14:03:50,0,[]
7,WinWambeti,"A Time for Everything

For everything that happens in life there is a season, a right time for everything under hea… https://t.co/qtmbyeJBtC","Nairobi, Kenya",|Born again |Worshipper |Financial Analyst |Flowers |Politics |Adventure |Chelsea |Cooking |Health *I 💝 Jesus Christ*.,2626,2057,16917,2019-01-10 18:11:16,0,[]
8,EbruTVKenya,"Mutito Andei Residents Fear Looming Famine Caused By Stray Jumbos
https://t.co/7WQRRsYaGp https://t.co/DxtZcCL6pc",NAIROBI,"KENYAN TV STATION Find us on GOtv Channel (96),Zuku Channel (17), Startimes Channel (109), Bamba TV & GOtv (Signet)",63,33397,135564,2011-05-10 14:03:50,0,[]
9,wadayua_andrew,"I will punish those who live in Egypt with the sword, famine and plague, as I punished Jerusalem.
JEREMIAH 44:14

H… https://t.co/22FbBvYtCT","Oyugis,Kenya","Prepare The Way The Messiah is coming.       



BORN AGAIN CHRISTIAN",4490,3862,3691,2020-07-26 03:11:19,0,[]
10,wadayua_andrew,"Remnant of Judah, the Lord has told you, ‘Do not go to Egypt.’ Be sure of this: I warn you today
So now, be sure of… https://t.co/BYiujdfffv","Oyugis,Kenya","Prepare The Way The Messiah is coming.       



BORN AGAIN CHRISTIAN",4490,3862,3691,2020-07-26 03:11:19,0,[]
11,wadayua_andrew,"However, if you say, ‘We will not stay in this land,’ and so disobey the Lord your God
then the sword you fear will… https://t.co/ZlqR8Ubk5t","Oyugis,Kenya","Prepare The Way The Messiah is coming.       



BORN AGAIN CHRISTIAN",4490,3862,3691,2020-07-26 03:11:19,1,[]
12,JosephineMulera,"Every time the LORD gives a warning, please take it. And every time He gives counsel, please take it seriously. Tha… https://t.co/PU1q07NCBB",Kenya,1st Timothy1:15---Here is a trustworthy saying that deserves full acceptance: Christ Jesus came into the world to save sinners- of whom I am the worst.,25558,28600,25966,2017-07-26 17:44:17,0,[]
13,WediAlula2012,"Words are not enough, @POTUS its time you take action! 

900,000 people are on the verge of starvation due to… https://t.co/c3A6ciYEGH","Nairobi, Kenya","የሀቅ ሰው ርሀቡ፤
ሰው ሳይሆን ሰው መሆን ነው ግቡ፡፡
አዕምሮ እንደፈሳሽ ወንዝ ነው፤ መገደብ ባትችልም አዲስ መንገድ አበጅለት፡፡",1901,111,2724,2019-01-18 12:51:07,0,[]
14,covid_kenya,"@_ngwata @TheKenyanBoy @yulemsee we need to see how things go, with the (possibly temporary) easing of our vaccine… https://t.co/s9T50RI97t","Nairobi, Kenya",monitoring the situation with COVID-19 in Kenya | guest curators every week | public discussions online Wed+Sun @8pm,294,386,431,2021-06-09 12:51:02,1,[]
15,MuchinaP41,"Amos.8.11 - Behold, the days are coming, says the Lord God, when I will send a famine in the land, not a famine of… https://t.co/Xg8jXjt9Zz","Kiambu, Kenya",REPENT PREPARE THE WAY MESSIAH IS COMING... ISAIAH 40:3,4876,4018,6150,2010-05-27 09:01:51,4,[]
16,CCI_ICBN,"For starters, it is famine that triggers the prompt to head to Egypt. Our fervency has gone into crying for heavens… https://t.co/UvhItQbSe9","Nairobi, Kenya","Instructing a Country, Baptising Nations
#ICBN",3,66,1619,2019-01-07 21:11:22,1,[]
17,CCI_ICBN,"We would like to warn every man on earth that this famine is already here, and that the procession to Egypt has alr… https://t.co/KgRznBgH5F","Nairobi, Kenya","Instructing a Country, Baptising Nations
#ICBN",3,66,1619,2019-01-07 21:11:22,1,[]
18,CCI_ICBN,"The Anthem of Nations this month is making use of a warning space denoted here. Predetermined, man was supposed to… https://t.co/qsIza9AqaV","Nairobi, Kenya","Instructing a Country, Baptising Nations
#ICBN",3,66,1619,2019-01-07 21:11:22,1,[]
19,CCI_ICBN,"CCI Devotional Classics
Friday, 13th August 2021

EGYPTIAN DESCENT

By @ApostleMbae 

And there was a famine in the… https://t.co/rxlnXbHIoF","Nairobi, Kenya","Instructing a Country, Baptising Nations
#ICBN",3,66,1619,2019-01-07 21:11:22,3,[]
20,ntvkenya,"W. Pokot Is Literally Going Green:

The recurrent problem of famine in sections of West Pokot may soon be confined… https://t.co/88X8tsfQj8",Nairobi,"LIVE STREAM: https://t.co/Vp8SMcv7jV ____________________________________________
Follow @NTVnewsroom for breaking news, @NTVSasa for Kiswahili updates.",323,3024560,540585,2009-03-23 11:30:40,2,[]
21,MzalendoWatch,Hon. Jeremiah Ekamais is directing a question to the CS for Devolution and ASALS regarding the measures the ministr… https://t.co/iePwhPchVH,"Nairobi, Kenya",The Organisation and Website that tracks the activities of Kenyan Legislators. Help us keep an eye on Parliament!,798,26169,66820,2010-02-17 10:07:18,0,[]
22,kevinomwanza71,"@EzekielMutua Corruption is immoral than the airing of dirty content. The corrupt steal embezzle public funds, cond… https://t.co/AwFUp3uWga","Nairobi, Kenya","Advocate of the High Court/
Public Policy Expert/
Novelist",823,978,3467,2014-01-10 07:35:23,0,[]
23,arnoldkigs1,"@Nairan_Marley @Kimuzi_ baringo ni mashida ndo  mingi sana. tunaanze na drought and famine ,cattle rustling, diseas… https://t.co/1LnqMeuD5Z","Nairobi, Kenya",A soul with good intentions,1695,2375,54043,2015-01-29 07:21:19,0,[]
