,user,tweet,location,description,friends_count,followers_count,statuses_count,created_at,retweet_count,hashtags
0,KakwenzaRukira,"Africa’s leaders may not be likable fossils, but they control attractive fossil fuels and other natural resources,… https://t.co/O7peJKIbOW","Kampala, Uganda",Author and Human rights activist https://t.co/6TQusVweHJ,399,2259,19215,2018-12-22 09:03:55,0,[]
1,TimChristo,"@antonioguterres: 'This report must sound a death knell for coal and fossil fuels, before they destroy our planet [… https://t.co/kjf83L3I9R","Nairobi, Kenya","Stubborn climate optimist. Coordinator UN Decade on Ecosystem Restoration 2021-2030. Head of Nature for Climate @UNEP. Go, #GenerationRestoration! Views my own",1157,6584,4743,2012-06-12 19:41:15,2,[]
2,JoyceChepnget16,"@NamugerwaLeah Growing more trees,embracing renewable energy sources  and avoiding the use of fossil fuels could be the vaccine!","Nakuru, Kenya",I am an environmental conservationist,206,117,26,2021-06-01 09:03:54,0,[]
3,WinnieCheche,"They can either be biotic or abiotic, depending on their origin. The biotic ones include forests, wildlife, and fos… https://t.co/5tMuHP75Hb","Nairobi, Kenya",Environmentalist | Climate Change Activist | Traveler | Conservationist | Quality Coordinator Team Lead | Kean Communication Lead | Blogger https://t.co/Q4gYQnVOEM,4073,4306,20485,2014-03-05 19:27:52,0,[]
4,KibengoU,Seating and wishing doesn't yield any success . Climate crisis is increasing in today's generations . Extinction is… https://t.co/yitfURo0qN,"Isingiro, Uganda","It's a nonprofit organization from uganda aiming at climate restoration program , tree planting , climate restoration education .  +256783794109",579,80,68,2021-07-16 08:08:48,0,[]
5,UNEP,"Over 90% of people breathe unhealthy levels of air pollution, largely resulting from burning fossil fuels driving c… https://t.co/i2V8FVL1eG","Nairobi, Kenya",Official account of the United Nations Environment Programme. #ForNature,2963,1131832,32180,2009-05-06 09:34:32,101,[]
6,Niek_Partout,"Subsidy free! Eat that, fossil fuels! https://t.co/9GVoASTsYk","Kampala, Uganda","I work for an INGO, based in Uganda. EU native, left in 2003 for Central America, USA, South Asia, Haiti, Sahel/Central/East Africa. Retweets ≠ endorsement",2688,513,6659,2009-07-22 07:01:30,0,[]
7,Agenda_climate,The fight against #ClimateChange is a noble cause but international NGO'S fighting for dominance/donor money are ma… https://t.co/PvNxl8OI4V,Tanzania,"A Young Tanzanian climate Activist| who Attempt to save the world climate and security of Food.🌱🌳.- By online Tree planting campaign Activism. 
ACT NOW 💚",356,114,264,2020-10-20 12:03:19,0,"[{'text': 'ClimateChange', 'indices': [18, 32]}]"
8,kevinem_maina,"@js94566 @BLAG2 @JoeBiden Also, using electric cars unless you are charging by solar is just an indirect usage of f… https://t.co/X1rZOkMtGz","Nairobi, Kenya",I drink KoolAId!,295,186,571,2012-07-21 19:00:01,0,[]
9,lamsmykenya,"@mvineetmenon @kirstygogan Both solar and wind require vast amounts of material derived from mining, smelting, etc.… https://t.co/3NCRil40nq","Nairobi, Kenya",nomad,217,380,10177,2017-02-09 09:07:57,0,[]
