,user,tweet,location,description,friends_count,followers_count,statuses_count,created_at,retweet_count,hashtags
0,citizentvkenya,LG Electronics has announced its commitment to set targets to follow science-based targets with the goal of cutting… https://t.co/cXRRcCCZ9g,"Nairobi, Kenya",Kenya's Premier TV Station. Breaking News / Entertainment / Your Favorite Local TV Shows. Follow us on https://t.co/zFxsEropBr,156,3417137,597665,2009-08-31 13:42:16,2,[]
1,RichardSsuna,@siberian_times @radicalanthro In addition to #GlobalWarming these #wildfires contribute to the destruction of the… https://t.co/SMxqAwSRhy,"Kampala, Uganda",Founder & Director-#AnimalCharity | #WildlifeVet | #AnimalWelfare Activist | Animal Public Policy Specialist | #Nature & #History Enthusiast | Husband & Father,343,546,7653,2009-09-11 20:23:55,0,"[{'text': 'GlobalWarming', 'indices': [46, 60]}, {'text': 'wildfires', 'indices': [67, 77]}]"
2,Amref_Kenya,The health sector has an important role to play in reducing greenhouse gas emissions that are the cause of… https://t.co/MWrvetm1dg,Kenya,We believe that health is a basic human right. Everything we do ensures lasting health change for all. FB: https://t.co/Bgmdhz8Oqr,4820,30458,11893,2015-03-24 13:31:03,8,[]
3,ScienceAfrica5,"Reduction of #Greenhouse Gas Emissions Critical in Dealing with Climate Change

As #Algeria becomes the latest vict… https://t.co/Zp3UswlCCJ","Nairobi,Kenya","Africa's leading publication on Science,Innovation and development

Instagram : scienceafricakenya",1024,444,706,2015-03-19 10:30:47,0,"[{'text': 'Greenhouse', 'indices': [13, 24]}, {'text': 'Algeria', 'indices': [83, 91]}]"
4,summedupkenya,"LG commits to cut greenhouse gas emissions
 https://t.co/zDCzc4zZxR","Nairobi, Kenya","Get yourself covered by News Summed Up! Email us at aprilinnovationslab@gmail.com
Download now https://t.co/5vDRNSUuRg",162,358,188889,2016-06-13 12:00:11,0,[]
5,TheStarKenya,LG becomes the first Korean company to participate in the net-zero global campaign https://t.co/O4bEGYvJHJ,Kenya,"Independent Fresh And Different! 🇰🇪
WhatsApp: +254727422422",513,1359960,219575,2011-07-27 11:55:33,0,[]
6,KenyaTodayNews,LG commits to cut greenhouse gas emissions https://t.co/uvtqLx7y26,Nairobi Kenya,Where you get all your latest Kenyan news from the top sites in one place.,36,1007,70462,2016-04-21 23:28:02,0,[]
7,aptantech,LG to follow science-based targets to cut greenhouse gas emissions by 2030 https://t.co/YBGZtgZA7H,"Nairobi, Kenya","Updates, News, Reviews on tech & business-related issues & trends in Kenya & beyond. aptantech@gmail.com, info@aptantech.com
Telegram - https://t.co/NMr4YfhcUZ.",669,1057,14116,2013-08-07 13:33:42,0,[]
8,MichaelOuma,LG to follow science-based targets to cut greenhouse gas emissions by 2030 https://t.co/NjZq9P4E7s,"Nairobi, Kenya","Here I am, all thanks to God. That's what matters. The rest are details.",611,1701,27411,2009-07-21 14:18:20,0,[]
9,moseskemibaro,Forget plant-based dairy products. 100% 'real' dairy-based ice cream and cheese products made without cows using fu… https://t.co/9DyIspJyPL,"Nairobi, Kenya",20+ years digital & still learning. Husband & Father. God leads my life.,6810,14437,14937,2007-12-30 13:08:38,0,[]
10,NrgKlean,"Clean energy produces no or very little greenhouse gas emissions. That helps the environment, It's totally safe. Th… https://t.co/Pm43QRvVWd",Kigali - Rwanda,Working towards a brighter future ensuring to lighten up those long evening through clean energy solutions.,649,329,480,2020-04-20 10:53:37,1,[]
11,EarthFaith4,It is necessary to bring all the stake holders together; @acrl_rfp @IIECP @iphrdafrica @fecclaha @UNEPFaith4Earth… https://t.co/bB8IwUor2d,"Nairobi, Kenya",Religious Leaders integrating the SDG14 in their faith led actions at their places of worship #Interfaith4Oceans #OurSacredWaters #ReclaimOurGreen🌲,349,318,1637,2020-05-20 06:11:11,6,[]
12,amwaafrika,"A second #ClimateReport, set to be released in 2022, will detail how climate change might affect aspects of human s… https://t.co/A00djaHyJI","Kampala, Uganda","We’re a Pan-African feminist leadership development organisation headquartered in Kampala, and breaking ground throughout the continent.",1218,11870,15927,2012-02-03 15:18:03,0,"[{'text': 'ClimateReport', 'indices': [9, 23]}]"
13,Consumers_Kenya,"Tackling climate change requires action at all levels of society, from individuals and educators to policymakers an… https://t.co/nHz503c8O4",Kenya,Official Account for Consumer Grassroots Association (CGA). We Empower Consumers to Protect Themselves. Stay informed to stay safe. Updates https://t.co/TNezHANFsv,2951,24002,22873,2016-11-30 08:14:19,9,[]
14,RichardSsuna,"@Reuters Climate change is causing fires, killing people, destroying nature and wildlife and increasing greenhouse… https://t.co/ruPIKnzVA9","Kampala, Uganda",Founder & Director-#AnimalCharity | #WildlifeVet | #AnimalWelfare Activist | Animal Public Policy Specialist | #Nature & #History Enthusiast | Husband & Father,343,546,7653,2009-09-11 20:23:55,1,[]
15,RichardSsuna,"2/2 The only way to stop the warming is to end greenhouse gas emissions: The longer it takes, the hotter it gets","Kampala, Uganda",Founder & Director-#AnimalCharity | #WildlifeVet | #AnimalWelfare Activist | Animal Public Policy Specialist | #Nature & #History Enthusiast | Husband & Father,343,546,7653,2009-09-11 20:23:55,0,[]
16,RichardSsuna,This report goes farther than any previous IPCC climate report in placing the blame for global warming squarely on… https://t.co/D46xFbLbG7,"Kampala, Uganda",Founder & Director-#AnimalCharity | #WildlifeVet | #AnimalWelfare Activist | Animal Public Policy Specialist | #Nature & #History Enthusiast | Husband & Father,343,546,7653,2009-09-11 20:23:55,0,[]
17,GreenAfricaMed1,"@IPCC_CH latest report underscores the pressing need for action to reduce our #environmental footprints. ""… https://t.co/LcumkBOwkY","Nairobi, Kenya","Championing Africa's green growth and sustainable development agenda through storytelling, call-to-action campaigns and capacity building",474,238,137,2021-05-10 20:36:54,8,"[{'text': 'environmental', 'indices': [78, 92]}]"
18,andersen_inger,Heat extremes. Heavy precipitation. Droughts. Intense tropical cyclones. Reductions in Arctic sea ice and permafros… https://t.co/9LfDwabTZr,"Nairobi, Kenya",Executive Director @UNEP @UN Under-Secretary-General,902,46694,4396,2014-03-24 20:04:50,50,[]
19,MazirweSarah,#IPCCReport2021 also suggests that the time to prevent climate change was decades ago. Urgent #ClimateAction is nee… https://t.co/2PJPQRuGT3,"Kampala, Uganda",Journalist. Writer. PR. Believe in Jesus. Single. Communications Specialist in making,179,51,58,2016-05-05 06:41:23,0,"[{'text': 'IPCCReport2021', 'indices': [0, 15]}, {'text': 'ClimateAction', 'indices': [94, 108]}]"
20,Governor_254,"@CNN We emit an unnecessary amount of carbon into the atmosphere by refining, transporting, and using fossil fuels/… https://t.co/ywIkrBe9t9",NAIROBI -KENYA,Ambassador for  social justice and good governance .CEO of  Mejas Motors  Kenya https://t.co/SdrmWsSbiH,331,600,14063,2011-07-23 12:13:23,0,[]
21,mjukuuwakwanza,The heatwave fanning wildfire across Europe and USA is so devastating as the UN report vindocates what we already k… https://t.co/zfcx81DRfR,Kenya,🔴Chief Writer- Grocery Peak | Fresh Fruits & Vegetable Sales Commentator,1227,971,1621,2012-07-13 09:41:11,0,[]
22,kiolijohn,"@IPCC_CH Stabilizing the climate will require strong, rapid, and sustained reductions in greenhouse gas emissions,… https://t.co/uNLDngXivg","Nairobi,Kenya",Executive Director Green Africa Foundation and Chairman Kenya Climate Change Working Group,1438,1642,1301,2013-02-13 09:35:37,0,[]
23,NutrChallenge,Nitrogen unbalanced!  2020 review of nitrous oxide sources and sinks found that emissions rose 30% in the last 4 de… https://t.co/IXIT3JZk6n,Kenya,The Global Partnership on Nutrient Management (GPNM) addresses the Nutrient Challenge: to produce more food and energy with less pollution,224,328,492,2012-08-14 11:43:21,7,[]
24,environmentmana,@EnvironmentRw What measures you will take to reduce the greenhouse gas emissions,"Kabale, Uganda",our environment our future,16,9,39,2020-06-17 05:53:55,0,[]
25,EnvironmentRw,Global warming of 1.5°C and 2°C will be exceeded during the 21st century unless deep reductions in carbon dioxide (… https://t.co/byIJXFUBFe,"Kigali, Rwanda","The official Twitter account of the Ministry of Environment, @RwandaGov | info@environment.gov.rw",575,43829,13497,2012-03-01 07:23:13,4,[]
26,RajatMadhok,"3. Many changes due to past and future greenhouse gas emissions are irreversible for centuries to millennia, especi… https://t.co/iRyyNWTBV9",Rwanda,"ex Yemen, ex Afghanistan, ex India, ex black beret, ex media, ex radiojockey, ex scribe, currently Rwanda",107,1709,2068,2008-11-07 20:20:17,0,[]
