,user,tweet,location,description,friends_count,followers_count,statuses_count,created_at,retweet_count,hashtags
0,RichardSsuna,@siberian_times @radicalanthro In addition to #GlobalWarming these #wildfires contribute to the destruction of the… https://t.co/SMxqAwSRhy,"Kampala, Uganda",Founder & Director-#AnimalCharity | #WildlifeVet | #AnimalWelfare Activist | Animal Public Policy Specialist | #Nature & #History Enthusiast | Husband & Father,343,546,7653,2009-09-11 20:23:55,0,"[{'text': 'GlobalWarming', 'indices': [46, 60]}, {'text': 'wildfires', 'indices': [67, 77]}]"
1,WinnieCheche,Ethiopia to shift from beef to chicken production. The government is promoting smaller livestock to limit the rise… https://t.co/KxxcRHkgjM,"Nairobi, Kenya",Environmentalist | Climate Change Activist | Traveler | Conservationist | Quality Coordinator Team Lead | Kean Communication Lead | Blogger https://t.co/Q4gYQnVOEM,4073,4306,20485,2014-03-05 19:27:52,3,[]
2,AMpuhwe,Not all about the carbon – Why curbing methane emissions will help fight climate change https://t.co/966D6CiGXe,Rwanda,Opinions are my own.V/M ED Musanze,1577,1518,5134,2014-11-06 05:02:08,0,[]
3,thyecomindset,"Soil can influence climate....Increases of greenhouses gases, such as carbon dioxide and methane, are contributors… https://t.co/PKP3WhhzRk",Nairobi,"A destination for all Earth lovers. 

Safe for you, for me and for the planet.",250,560,612,2020-09-05 08:18:10,36,[]
4,katereggadennis,"Methane Is a New Big Enemy in the Battle Over Climate Change, IPCC Says https://t.co/F0evCNzPdT","Kampala, Uganda",Consultant #Youth l Social Change Agent #Trade l Blogger #Environment CLIMATE STRIKER,35,173,2884,2009-07-04 10:59:09,0,[]
5,andersen_inger,"As the #IPCC #ClimateReport outlines, limiting methane emissions could have benefits for both health and the… https://t.co/vqi3aQpP3E","Nairobi, Kenya",Executive Director @UNEP @UN Under-Secretary-General,902,46694,4396,2014-03-24 20:04:50,19,"[{'text': 'IPCC', 'indices': [7, 12]}, {'text': 'ClimateReport', 'indices': [13, 27]}]"
6,JaphethOrieny,Ethiopia to shift from beef to chicken production. The government is promoting smaller livestock to limit the rise… https://t.co/sauhdygPaq,"Nairobi, Kenya","Millennium Fellow Class of 2020 | @Greenpeaceafric Volunteer |  Vice Director 2018/2019 @SDGsKu | Organizing Secretary 2018/2019 
@kunec250 | @manutd FC Fan.",2017,1893,19679,2016-08-15 06:47:05,0,[]
7,nottawas,"The latest IPCC report says the globe may be on track for a 1.5°C temperature rise by 2040. It says, ""Strong, &amp; sus… https://t.co/fz0pAbzfeV","Nairobi, Kenya",The Nottawasaga Institute (NI) is a private organisation providing capacity strengthening services to agencies working towards sustainable development.,273,136,700,2014-09-18 09:44:47,0,[]
8,tgegwang,"This invisible gas could seal our fate on climate change, scientists say

https://t.co/LoikjKygqM","Kampala, Uganda","Biomedical scientist (immunologist, molecular biologist, parasitologist) interested in harnessing science and arts for development.",296,412,17406,2013-03-20 22:33:12,0,[]
9,DrWambua,"This invisible gas could seal our fate on climate change, scientists say https://t.co/nXeGnuiVXQ",Kenya,Admirer of The Human Spirit . Full Time Student of Life . Aspiring Leader,839,1887,321638,2011-09-28 18:05:58,0,[]
10,HTRajabu,"⁦@maishatz⁩ the solutions could be WaMaasai mvua he n’gombe ZNZ, naamini mmeshatuma ‘advance party’ kufanya tathmin… https://t.co/AeYZtEtNtf",Tanzania,Technology | Society | Law | Future | Space | Africa | Tanzania | H Y D R Å | https://t.co/pt7PbQEgf3,875,431,1176,2011-05-23 18:29:01,0,[]
11,DrWambua,Scientists say this invisible gas could seal our fate on climate change https://t.co/JD7B1hgQ7s,Kenya,Admirer of The Human Spirit . Full Time Student of Life . Aspiring Leader,839,1887,321638,2011-09-28 18:05:58,0,[]
12,abedex_ewoi,The climate is changing. But what does it mean? It means the fluctuations caused by humans on the climatic patterns… https://t.co/UPBQTBcEUr,Kenya,"Humanitarian aid worker. My location keeps changing, the camera and my T-handle is my constant. The world changes everyday, are you part of the change!",767,291,155,2012-08-10 18:25:13,0,[]
13,douglasrasbash,@Go_Francistown @BWGovernment @BWGovernment was very slow in finalizing its Climate Change Policy and has yet to st… https://t.co/jxyV8TaxSF,"Kampala, Uganda",A changing mind in a changing world. Helping others above all.,379,1027,46396,2012-12-15 13:33:40,0,[]
14,douglasrasbash,@Go_Francistown But correct in pointing out that @BWGovernment has yet to submit its revised NDC. Given its total f… https://t.co/zQcaWNGqMf,"Kampala, Uganda",A changing mind in a changing world. Helping others above all.,379,1027,46396,2012-12-15 13:33:40,0,[]
15,awozdeya,"#5 ‼️
#Methane “from abandoned coal mines, farming and oil and gas operation is responsible for almost a quarter of… https://t.co/78w78XiJlp",,,479,4289,33424,2011-06-19 17:17:56,0,"[{'text': 'Methane', 'indices': [6, 14]}]"
16,NutrChallenge,"The latest IPCC report:  Both methane and nitrous oxide, the second and third biggest contributors to global warmin… https://t.co/EdtbsLPi15",Kenya,The Global Partnership on Nutrient Management (GPNM) addresses the Nutrient Challenge: to produce more food and energy with less pollution,224,328,492,2012-08-14 11:43:21,5,[]
17,NiklasHagelberg,The search for the world's largest methane sources https://t.co/3Q7zUSN77T via @BBC_Future,"Nairobi, Kenya",Niklas is the Coordinator of the Climate Change Programme @ UNEP,496,503,1223,2016-04-21 12:47:50,0,[]
