,user,tweet,location,description,friends_count,followers_count,statuses_count,created_at,retweet_count,hashtags
0,TimChristo,"@antonioguterres: 'This report must sound a death knell for coal and fossil fuels, before they destroy our planet [… https://t.co/kjf83L3I9R","Nairobi, Kenya","Stubborn climate optimist. Coordinator UN Decade on Ecosystem Restoration 2021-2030. Head of Nature for Climate @UNEP. Go, #GenerationRestoration! Views my own",1157,6584,4743,2012-06-12 19:41:15,2,[]
1,Greenhuntenergy,"By installing solar, you’re not only reducing your carbon footprint, but also doing your bit to increase renewable… https://t.co/siz3kPcqye","UNICITY MALL,NAIROBI,KENYA",Greenhunt Energy is the best leading solar company which offers a distributed  range of services  that is aimed at serving the full  commercial solar ecosystem,136,158,143,2014-06-02 12:10:28,1,[]
2,Greenhuntenergy,"Greenhunt provides solutions and equipment for your renewable energy projects and needs. We solarize boreholes, ins… https://t.co/CZWjqDEMyr","UNICITY MALL,NAIROBI,KENYA",Greenhunt Energy is the best leading solar company which offers a distributed  range of services  that is aimed at serving the full  commercial solar ecosystem,136,158,143,2014-06-02 12:10:28,1,[]
3,JoyceChepnget16,"@NamugerwaLeah Growing more trees,embracing renewable energy sources  and avoiding the use of fossil fuels could be the vaccine!","Nakuru, Kenya",I am an environmental conservationist,206,117,26,2021-06-01 09:03:54,0,[]
4,BenMuok,Grant UK’s handy heat pump guide for homeowners Renewable Energy Installer https://t.co/Bq9K5jQY5b,"Nairobi, Kenya",Director Centre for Research Innovation and Technology Jaramogi Oginga Odinga University of Science and Technology,957,613,1605,2009-09-21 19:40:09,0,[]
5,lokomarket_ke,"Job Description/Requirements Reporting to : Finance, Administration &amp; HR Manager Employer : Dynamic start-up in the… https://t.co/mChC4cgc2u","Nairobi, Kenya","The Best Online Market Place in Kenya • We live smarter •
Actively looking for partnerships •",304,342,5255,2020-02-15 21:27:16,0,[]
6,lokomarket_ke,Job Description/Requirements Employer : Dynamic start-up in the energy sector Nairobi – Full time About the company… https://t.co/YUNpNtQyry,"Nairobi, Kenya","The Best Online Market Place in Kenya • We live smarter •
Actively looking for partnerships •",304,342,5255,2020-02-15 21:27:16,0,[]
7,Sonoia_G,"To hell with you Man City
A small club that only competes with renewable energy😐 https://t.co/080wzsi1DN","Nairobi, Kenya","freedom, equality, fraternity, rights, and progress",1118,1084,10031,2016-06-07 19:32:30,0,[]
8,Gideon_Kitheka,"~My Profession is SECURITY. 
~My Career is POLITICS. 
~My Business is SOLAR PRODUCTS (Renewable energy)

I thought you should know.","Nairobi, Kenya","SAVED BY GRACE ~ SECURITY👮.


(Deals with ALL SOLAR OUTDOOR SECURITY LIGHTS)

Business Account @SolarProductsKe
Business No/WhatsApp +254754212159",22211,75171,64893,2015-05-18 16:56:30,10,[]
9,EACREEE4EA,"RT gnsec_net: RT @CCREEE_GNSEC: In the Caribbean, disproportionately affected by the effects of the climate crisis,… https://t.co/C1Xjsyd1pQ","Kampala, Uganda",,81,436,4607,2018-02-13 12:08:26,0,[]
10,EACREEE4EA,"RT gnsec_net: RT @CCREEE_GNSEC: With abundant resources and available technologies, why wait to switch renewable en… https://t.co/JO3sbTwdzI","Kampala, Uganda",,81,436,4607,2018-02-13 12:08:26,0,[]
11,Steve77360512,"@Gideon_Kitheka Man of the people, for change and reforms, justice and accountability. Green and renewable energy champion and inovator.",,"political analyst, and Rights activist...",1862,2223,19717,2019-09-13 18:14:17,0,[]
12,NrgKlean,"The more we focus on #climatechange , #ClimateAction , and #ClimateCrisis , the more people become aware of… https://t.co/HelzYgI1Ql",Kigali - Rwanda,Working towards a brighter future ensuring to lighten up those long evening through clean energy solutions.,649,329,482,2020-04-20 10:53:37,5,"[{'text': 'climatechange', 'indices': [21, 35]}, {'text': 'ClimateAction', 'indices': [38, 52]}, {'text': 'ClimateCrisis', 'indices': [59, 73]}]"
13,MagnaAfrica,"Magna Africa offers a range of solar services, including consulting, installation, and maintenance, designed to hel… https://t.co/c18qOXNMD5",Kenya,"We have the experience to convert your home, business, institution to a lively burst using our technology. Call us: +254790493217 Email: info@magnaafrica.co.ke",6,22,54,2017-04-18 16:55:19,0,[]
14,MagnaAfrica,"Solar LED gate lights will offer you an uninterrupted power supply all through while assuring you efficiency.
Join… https://t.co/Tjp9T3PQIR",Kenya,"We have the experience to convert your home, business, institution to a lively burst using our technology. Call us: +254790493217 Email: info@magnaafrica.co.ke",6,22,54,2017-04-18 16:55:19,0,[]
15,TimKipchumba,"Follow up on my contribution to renewable energy transition in Africa at @CNBC 
https://t.co/EVoxHJdOMm","Nairobi, Kenya","3X Dad, #Sourcing (#Capital #Supplychain #RealEstate, #Startups #Solar) Co-Founder @questworkskenya, 2XAuthor @mentorthon, GoalKeeper, https://t.co/Fdvq9szcfd",5998,8536,25599,2009-05-14 13:25:25,6,[]
16,RexEnergy,"This  is more than 10,000 the amount of energy used by the entire world!
. 
.
#FactualFridays #solar #solartz… https://t.co/tBxbeVh2Y6",Tanzania,"The official Twitter account of Rex Energy, the  leading Solar energy contractors in Tanzania",1,134,120,2012-01-05 10:56:25,0,"[{'text': 'FactualFridays', 'indices': [78, 93]}, {'text': 'solar', 'indices': [94, 100]}, {'text': 'solartz', 'indices': [101, 109]}]"
17,TimKipchumba,Accelerating Africa’s transition to renewable energy. Catch our conversation at @CNBC  and let’s build on this jour… https://t.co/rjWBqyPwip,"Nairobi, Kenya","3X Dad, #Sourcing (#Capital #Supplychain #RealEstate, #Startups #Solar) Co-Founder @questworkskenya, 2XAuthor @mentorthon, GoalKeeper, https://t.co/Fdvq9szcfd",5998,8536,25599,2009-05-14 13:25:25,2,[]
18,icpac_igad,ℹ️ Can #renewableenergy transition in #Africa contribute towards achieving targets in Nationally Determined Contrib… https://t.co/kVbRrK65Wz,Kenya,"🌍 #Climateservices, early warnings, and #earthobservation for Sustainable Development in #EastAfrica

🔗 https://t.co/cuGIpV90Cf 
🛰️ Hazards watch ▶️ https://t.co/eBjdm8U1zs",6499,17307,4947,2012-06-11 13:00:17,7,"[{'text': 'renewableenergy', 'indices': [7, 23]}, {'text': 'Africa', 'indices': [38, 45]}]"
19,AECFAfrica,The AECF is looking for a Senior Technical Advisor (STA) -Financial Management who will be responsible for supporti… https://t.co/GcmYgwOxiw,Nairobi,"AECF funds businesses to innovate, create jobs, leverage investments & markets, create resilience and sustainable incomes in rural communities in Africa",1093,5274,2922,2011-08-18 08:03:22,2,[]
20,AECFAfrica,The AECF is looking for a Senior Technical Advisor (STA) - Strategy and Market Growth (Renewable Energy)  who will… https://t.co/AF7QHmYBRR,Nairobi,"AECF funds businesses to innovate, create jobs, leverage investments & markets, create resilience and sustainable incomes in rural communities in Africa",1093,5274,2922,2011-08-18 08:03:22,2,[]
21,nakurugoat,Someone said the only Mancity rival is renewable energy 😂😂💔💔,"Nakuru, Kenya",Official Old Trafford Quality,120,1896,3837,2018-04-04 09:32:12,53,[]
22,KasoziSamuel14,"We should stand up and act now, renewable energy is the only solution to protect our only home.

I pledge to stand… https://t.co/sW6IOa5KpE","Kampala, Uganda",Climate Change Activist🌏| Environmentalist🌳🍁| Advocate for Land Rights  for the Vulnerable|Real Estate appraiser🏘|kasozisamuel.ks@gmail.com,755,104,237,2019-04-10 18:16:20,0,[]
23,Iam_meista,@meNjihia Nimeona pahali msee anasema no wonder rivals wa city ni renewable energy 😂😂,"Nairobi, Kenya","Thou shalt not try me                                          
  Mood 24:7",4648,3523,59696,2014-05-24 18:09:26,0,[]
24,BiorGarang,#SSOT #SouthSudan @GERinSSD @undpsouthsudan which youths are these you folks talk about given I had &amp; still have an… https://t.co/z2NlT0QXYL,Kenya,"Microbiologist,concerned African scientist.",109,1089,5813,2014-01-30 06:10:26,1,"[{'text': 'SSOT', 'indices': [0, 5]}, {'text': 'SouthSudan', 'indices': [6, 17]}]"
25,spromaenergy,"@SEIA Something practical about renewable energy .
#humansofsolar","Bungoma, Kenya",Ambassadors of Green Energy!,107,70,161,2018-05-28 15:34:45,0,"[{'text': 'humansofsolar', 'indices': [51, 65]}]"
26,OneHealthTC,"You &amp; I can do something
➡️Vote for a politician that prioritizes climate 
➡️Use renewable energy sources at home &amp;… https://t.co/M6bComFzuT","Nairobi, Kenya",Tackling #OneHealth challenges together,142,120,221,2018-01-03 07:57:45,1,[]
27,wawaheire,The fossil fuel debate and it's disastrous effect on our environment has been on for long time time and it's high t… https://t.co/OCzZD9uVtZ,Kenya,"Dad, Hubby, Grandpa and has a passion for Social Justice and Trees.",510,212,3368,2012-06-10 12:15:54,0,[]
28,power_african,"https://t.co/2S6hj9MdpG

Power Reports Niger

Country energy information: Niger

#africanpowerplatform… https://t.co/1DRfoIGLAi",Kenya,The African Power Platform gathers the stakeholders active or interested in the power sector in Africa.,869,420,1591,2018-10-12 14:16:38,1,"[{'text': 'africanpowerplatform', 'indices': [81, 102]}]"
29,RexEnergy,[Photo Description: Pictured is a group of clients lined up in front of a green truck awaiting their solar packages… https://t.co/6rMo7JP3C3,Tanzania,"The official Twitter account of Rex Energy, the  leading Solar energy contractors in Tanzania",1,134,120,2012-01-05 10:56:25,0,[]
30,spinnered_,Funding Coal exploration will increase the vulnerability of communities to the impacts of the climate crisis and CO… https://t.co/3TJpjmBR6A,"Nairobi, Kenya",Upcoming Senior Accountant,994,431,4477,2018-09-26 14:40:32,3,[]
31,SiyadAhmed95,"As Kenya looks at building back better, We need to ensure that clean, renewable, affordable, reliable and accessibl… https://t.co/2q763nyse7","Mandera, Kenya","Bsc.@uonbi
Environment. Climate change. Community development. Manchester United.
                 Head of finance @Mazingira009",903,800,3288,2015-09-30 08:09:28,4,[]
32,SiyadAhmed95,A recovery that is driven by renewable energy sources will contribute to more equitable and inclusive communities b… https://t.co/cFEqf5yDLp,"Mandera, Kenya","Bsc.@uonbi
Environment. Climate change. Community development. Manchester United.
                 Head of finance @Mazingira009",903,800,3288,2015-09-30 08:09:28,12,[]
